timestamp,expected_model,actual_model,query_text,category
2025-09-06T13:26:47.691133,heavy,fast,"Berechne die optimale Anzahl von Connections im Connection Pool?",mathematical
2025-09-06T13:26:47.691624,heavy,fast,"Bestimme die mathematisch beste Partitionierung für große Datasets Danke im Voraus!",mathematical
2025-09-06T13:26:47.691710,heavy,code,"Finde die optimale Anzahl von Worker-Threads für CPU-intensive Tasks",mathematical
2025-09-06T13:26:47.691780,heavy,fast,"Bestimme die mathematisch beste Partitionierung für große Datasets",mathematical
2025-09-06T13:26:47.691856,heavy,code,"Kannst du mir helfen: berechne die optimale anzahl von connections im connection pool",mathematical
2025-09-06T13:26:47.692029,heavy,fast,"Berechne die optimale Timeout-Werte für HTTP-Requests Danke im Voraus!",mathematical
2025-09-06T13:26:52.707254,heavy,code,"Löse die Optimierungsaufgabe für Memory-Allocation",mathematical
2025-09-06T13:26:57.723191,heavy,fast,"Bestimme die mathematisch beste Partitionierung für große Datasets?",mathematical
2025-09-06T13:27:02.748352,heavy,code,"Löse die Optimierungsaufgabe für Memory-Allocation Danke im Voraus!",mathematical
2025-09-06T13:27:07.771254,heavy,code,"Finde die optimale Anzahl von Worker-Threads für CPU-intensive Tasks",mathematical
2025-09-06T13:27:07.771451,heavy,code,"Löse die Optimierungsaufgabe für Memory-Allocation Danke im Voraus!",mathematical
2025-09-06T13:27:07.771519,heavy,code,"Berechne Fibonacci-Zahlen zur Bestimmung von Retry-Intervallen",mathematical
2025-09-06T13:27:07.771826,heavy,code,"Finde die optimale Anzahl von Worker-Threads für CPU-intensive Tasks Danke im Voraus!",mathematical
2025-09-06T13:27:12.796691,heavy,code,"Finde die optimale Anzahl von Worker-Threads für CPU-intensive Tasks?",mathematical
2025-09-06T13:27:12.796868,heavy,code,"Löse die Optimierungsaufgabe für Memory-Allocation Danke im Voraus!",mathematical
2025-09-06T13:27:17.827747,heavy,code,"Finde die optimale Anzahl von Worker-Threads für CPU-intensive Tasks",mathematical
2025-09-06T13:27:17.828155,heavy,code,"Kannst du mir helfen: löse die optimierungsaufgabe für memory-allocation",mathematical
2025-09-06T13:27:22.851804,heavy,fast,"Berechne die optimale Timeout-Werte für HTTP-Requests?",mathematical
2025-09-06T13:27:22.852046,heavy,code,"Berechne Fibonacci-Zahlen zur Bestimmung von Retry-Intervallen Danke im Voraus!",mathematical
2025-09-06T13:27:22.852138,heavy,fast,"Berechne die optimale Timeout-Werte für HTTP-Requests",mathematical
